Player,Nation,Pos,Squad,90s,Passes Cmp,Passes Att,passes Cmp%,Assists,xAG,xA,KP,Final 3rd,PPA,CrsPA,PrgP
Brenden Aaronson,us USA,MFFW,Leeds United,25.6,575,771,74.6,3,4.2,2.6,46,45,16,4,84
Che Adams,sct SCO,FW,Southampton,22.1,330,498,66.3,3,2.8,2.2,24,21,11,2,34
Tyler Adams,us USA,MF,Leeds United,24.0,1108,1343,82.5,0,1.4,1.0,24,110,13,0,136
Tosin Adarabioyo,eng ENG,DF,Fulham,20.2,903,1112,81.2,0,0.4,0.4,6,77,6,0,83
Nayef Aguerd,ma MAR,DF,West Ham,15.7,504,648,77.8,0,0.4,0.3,5,33,4,0,24
Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,1.0,37,46,80.4,0,0.1,0.0,1,3,0,0,2
Rayan Aït Nouri,dz ALG,DF,Wolves,11.5,446,552,80.8,0,1.0,0.8,7,28,14,5,43
Kristoffer Ajer,no NOR,DF,Brentford,8.5,259,345,75.1,0,0.0,0.1,1,20,3,1,31
Manuel Akanji,ch SUI,DF,Manchester City,23.8,1771,1904,93.0,1,0.4,1.0,7,126,3,1,103
Nathan Aké,nl NED,DF,Manchester City,20.1,1589,1756,90.5,0,0.6,1.3,8,156,9,1,139
Marc Albrighton,eng ENG,FWMF,Leicester City,2.6,89,148,60.1,0,0.9,0.4,6,6,5,2,7
Thiago Alcántara,es ESP,MF,Liverpool,13.9,946,1097,86.2,0,1.1,1.3,17,110,20,1,120
Carlos Alcaraz,ar ARG,MFFW,Southampton,8.9,173,227,76.2,1,0.5,0.5,3,15,5,0,22
Trent Alexander-Arnold,eng ENG,DF,Liverpool,29.5,1972,2620,75.3,8,10.0,8.1,64,211,71,23,213
Alisson,br BRA,GK,Liverpool,35.0,1182,1390,85.0,1,0.3,0.0,1,14,0,0,3
Dele Alli,eng ENG,MF,Everton,0.4,12,15,80.0,0,0.0,0.0,0,2,0,0,1
Miguel Almirón,py PAR,FW,Newcastle Utd,23.9,703,853,82.4,1,1.8,2.3,21,41,26,3,109
Julián Álvarez,ar ARG,FWMF,Manchester City,12.9,311,400,77.8,0,1.5,1.1,14,21,11,2,34
Daniel Amartey,gh GHA,DF,Leicester City,17.9,1015,1114,91.1,0,0.5,0.4,5,58,1,0,66
Joachim Andersen,dk DEN,DF,Crystal Palace,27.9,1333,1702,78.3,0,1.1,0.7,10,117,7,1,86
Elliot Anderson,sct SCO,MFFW,Newcastle Utd,2.5,86,118,72.9,0,0.8,1.0,6,9,3,0,14
Jaidon Anthony,eng ENG,MFFW,Bournemouth,12.7,346,470,73.6,1,1.0,1.1,12,23,18,7,46
Michail Antonio,jm JAM,FW,West Ham,19.6,175,332,52.7,3,1.3,0.8,15,12,8,2,27
Antony,br BRA,FW,Manchester Utd,17.8,568,714,79.6,1,2.2,2.0,24,27,29,2,67
Cameron Archer,eng ENG,FWMF,Aston Villa,0.5,8,12,66.7,0,0.0,0.0,0,2,0,0,0
Alphonse Areola,fr FRA,GK,West Ham,3.4,67,92,72.8,0,0.0,0.0,0,0,0,0,0
Joe Aribo,ng NGA,MFFW,Southampton,12.8,268,369,72.6,0,0.8,0.5,9,20,9,0,39
Adam Armstrong,eng ENG,FWMF,Southampton,14.4,217,296,73.3,1,1.3,0.8,11,12,10,2,16
Stuart Armstrong,sct SCO,MFFW,Southampton,14.3,501,638,78.5,1,2.2,2.8,16,42,31,6,73
Kepa Arrizabalaga,es ESP,GK,Chelsea,25.5,770,930,82.8,0,0.0,0.0,0,6,0,0,0
Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,6.2,82,111,73.9,0,0.4,0.2,4,2,2,1,3
Ludwig Augustinsson,se SWE,DF,Aston Villa,0.9,26,43,60.5,0,0.0,0.0,0,0,0,0,0
Serge Aurier,ci CIV,DF,Nott'ham Forest,18.6,619,871,71.1,0,1.0,0.8,10,36,12,6,63
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,12.9,128,186,68.8,1,1.1,0.3,9,5,2,0,11
Yasin Ayari,se SWE,MF,Brighton,0.2,10,11,90.9,0,0.1,0.3,2,3,1,0,2
André Ayew,gh GHA,FWMF,Nott'ham Forest,3.5,51,71,71.8,0,0.0,0.0,1,3,1,0,11
Jordan Ayew,gh GHA,FWMF,Crystal Palace,27.2,604,792,76.3,2,2.7,2.2,29,32,14,6,57
Luke Ayling,eng ENG,DF,Leeds United,19.8,693,994,69.7,1,2.0,2.2,12,52,16,9,66
César Azpilicueta,es ESP,DF,Chelsea,14.0,730,904,80.8,0,1.0,1.1,10,35,16,4,62
Benoît Badiashile,fr FRA,DF,Chelsea,9.1,679,762,89.1,0,0.5,0.2,3,42,5,0,48
Leon Bailey,jm JAM,FWMF,Aston Villa,19.8,318,510,62.4,3,3.7,4.0,26,18,20,15,26
Stefan Bajcetic,es ESP,MF,Liverpool,5.8,200,258,77.5,0,0.4,0.5,4,17,7,1,24
Patrick Bamford,eng ENG,FW,Leeds United,15.5,213,307,69.4,2,0.9,0.6,11,18,9,0,22
Shandon Baptiste,gd GRN,MF,Brentford,6.4,238,284,83.8,1,1.0,0.5,9,22,8,2,39
Harvey Barnes,eng ENG,FWMF,Leicester City,28.1,507,734,69.1,1,2.9,1.9,17,35,28,4,73
Gavin Bazunu,ie IRL,GK,Southampton,32.0,718,1178,61.0,0,0.1,0.1,1,42,1,0,1
Mads Bech Sørensen,dk DEN,DFMF,Brentford,0.2,7,11,63.6,0,0.0,0.0,0,2,0,0,1
Jan Bednarek,pl POL,DF,Southampton,15.6,646,778,83.0,0,0.1,0.2,3,31,1,0,45
Jan Bednarek,pl POL,DF,Aston Villa,1.1,60,66,90.9,0,0.0,0.0,0,4,0,0,5
Donny van de Beek,nl NED,MF,Manchester Utd,1.9,46,61,75.4,0,0.1,0.1,3,0,4,0,6
Asmir Begovi?,ba BIH,GK,Everton,1.0,21,30,70.0,0,0.0,0.0,0,0,0,0,0
Armel Bella Kotchap,de GER,DF,Southampton,20.9,749,937,79.9,2,1.0,0.5,6,32,4,0,39
Saïd Benrahma,dz ALG,FWMF,West Ham,22.0,560,745,75.2,3,4.4,3.2,46,30,21,11,79
Rodrigo Bentancur,uy URU,MF,Tottenham,16.7,738,880,83.9,2,0.8,0.7,11,54,9,4,76
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,9.9,327,496,65.9,1,0.8,0.6,7,29,4,3,31
Owen Bevan,wls WAL,DF,Bournemouth,0.1,2,3,66.7,0,0.0,0.0,0,0,0,0,0
Giulian Biancone,fr FRA,DF,Nott'ham Forest,0.2,15,21,71.4,0,0.0,0.0,0,0,0,0,0
Philip Billing,dk DEN,MFFW,Bournemouth,29.1,746,974,76.6,1,3.1,2.5,24,46,8,3,76
Yves Bissouma,ml MLI,MF,Tottenham,9.0,514,571,90.0,0,0.5,0.3,8,40,4,1,45
Willy Boly,ci CIV,DF,Nott'ham Forest,6.7,183,243,75.3,1,0.2,0.3,1,8,0,0,11
Sven Botman,nl NED,DF,Newcastle Utd,30.7,1345,1567,85.8,0,1.0,1.1,8,53,3,1,76
Jarrod Bowen,eng ENG,FWMF,West Ham,34.6,519,834,62.2,4,6.4,5.2,43,38,23,8,69
James Bree,eng ENG,DF,Southampton,2.2,85,122,69.7,0,0.2,0.2,4,4,5,4,3
Armando Broja,al ALB,FW,Chelsea,3.3,33,53,62.3,0,0.1,0.1,1,1,1,0,4
David Brooks,wls WAL,FWDF,Bournemouth,0.4,4,6,66.7,0,0.0,0.0,0,1,0,0,0
Lewis Brunt,eng ENG,DF,Leicester City,0.3,17,21,81.0,0,0.0,0.0,0,0,0,0,0
Bryan,es ESP,MFFW,Tottenham,1.6,47,60,78.3,1,0.2,0.1,2,3,2,0,5
Emi Buendía,ar ARG,MFFW,Aston Villa,25.5,759,984,77.1,2,5.3,3.9,39,82,37,0,133
Hugo Bueno,es ESP,DF,Wolves,13.7,519,643,80.7,1,1.1,0.9,15,24,10,6,38
Facundo Buonanotte,ar ARG,FWMF,Brighton,3.2,89,113,78.8,1,0.5,0.2,5,4,3,1,5
Dan Burn,eng ENG,DF,Newcastle Utd,31.4,1196,1524,78.5,0,1.2,1.2,14,83,9,1,102
Cafú,pt POR,MF,Nott'ham Forest,0.1,2,2,100.0,0,0.0,0.0,0,1,0,0,1
Moisés Caicedo,ec ECU,MF,Brighton,30.4,1762,1983,88.9,1,2.5,2.4,39,161,32,5,194
Tom Cairney,sct SCO,MF,Fulham,8.5,527,619,85.1,0,1.2,1.3,10,61,15,5,74
Duje ?aleta-Car,hr CRO,DF,Southampton,10.5,480,568,84.5,0,0.0,0.2,1,26,0,0,33
Dominic Calvert-Lewin,eng ENG,FW,Everton,12.0,121,205,59.0,1,0.8,0.8,9,10,4,0,14
Chem Campbell,wls WAL,FWMF,Wolves,0.8,23,32,71.9,0,0.0,0.0,0,2,0,0,4
João Cancelo,pt POR,DF,Manchester City,14.2,1036,1220,84.9,1,0.9,1.5,12,80,36,9,106
Thomas Cannon,ie IRL,FW,Everton,0.3,4,5,80.0,0,0.5,0.0,1,0,0,0,0
Sergi Canós,es ESP,FWDF,Brentford,0.9,23,43,53.5,0,0.0,0.0,1,2,1,0,2
Diego Carlos,br BRA,DF,Aston Villa,2.3,112,142,78.9,0,0.0,0.1,1,9,1,0,11
Fabio Carvalho,pt POR,MFFW,Liverpool,3.8,114,139,82.0,0,0.1,0.2,1,7,2,0,11
Casemiro,br BRA,MF,Manchester Utd,19.9,935,1213,77.1,3,2.5,3.4,22,108,20,4,121
Matty Cash,pl POL,DF,Aston Villa,18.2,733,939,78.1,1,0.7,0.9,8,55,15,9,74
Timothy Castagne,be BEL,DF,Leicester City,33.2,1393,1736,80.2,3,2.6,2.2,22,84,20,10,103
Jonny Castro,es ESP,DF,Wolves,14.0,701,832,84.3,0,1.0,0.8,5,60,10,2,70
Julio César Enciso,py PAR,FWMF,Brighton,5.9,129,177,72.9,2,1.2,0.9,10,13,8,0,21
Nathaniel Chalobah,eng ENG,MF,Fulham,0.1,4,5,80.0,0,0.0,0.0,0,1,0,0,0
Trevoh Chalobah,eng ENG,DF,Chelsea,14.4,831,941,88.3,0,0.2,0.3,2,54,3,1,59
Calum Chambers,eng ENG,DFMF,Aston Villa,3.9,157,207,75.8,0,0.3,0.2,2,9,2,1,16
Ben Chilwell,eng ENG,DFMF,Chelsea,15.6,762,977,78.0,2,2.2,2.4,21,42,10,7,41
Ryan Christie,sct SCO,MFFW,Bournemouth,18.3,459,578,79.4,1,2.2,1.9,26,41,17,2,62
Carney Chukwuemeka,eng ENG,MFFW,Chelsea,2.6,98,117,83.8,0,0.1,0.1,3,6,4,2,12
Bobby Clark,eng ENG,MF,Liverpool,0.1,1,1,100.0,0,0.0,0.1,0,0,1,0,1
Nathaniel Clyne,eng ENG,DF,Crystal Palace,18.2,654,832,78.6,0,0.7,0.6,7,51,6,5,52
Conor Coady,eng ENG,DF,Everton,21.9,972,1149,84.6,1,0.3,0.5,4,71,3,1,40
Jack Colback,eng ENG,MF,Nott'ham Forest,5.5,119,143,83.2,0,0.2,0.2,2,12,3,1,16
Séamus Coleman,ie IRL,DF,Everton,18.4,597,789,75.7,0,0.9,0.9,4,35,18,7,61
Nathan Collins,ie IRL,DF,Wolves,18.2,917,1036,88.5,0,0.1,0.2,2,65,2,0,60
Levi Colwill,eng ENG,DF,Brighton,9.6,741,835,88.7,0,0.2,0.2,3,58,3,0,55
Lewis Cook,eng ENG,MF,Bournemouth,18.0,547,695,78.7,2,2.5,2.3,24,53,12,9,58
Steve Cook,eng ENG,DF,Nott'ham Forest,10.6,369,459,80.4,0,0.6,0.6,3,18,2,1,19
Liam Cooper,sct SCO,DF,Leeds United,14.8,572,729,78.5,0,0.7,0.3,5,45,1,1,40
Maxwel Cornet,ci CIV,FW,West Ham,1.9,44,61,72.1,0,0.1,0.1,1,2,1,1,4
Diego Costa,es ESP,FW,Wolves,12.7,137,194,70.6,0,0.7,0.7,11,9,4,0,13
Vladimír Coufal,cz CZE,DF,West Ham,21.7,643,1050,61.2,1,2.2,1.6,22,64,17,12,79
Philippe Coutinho,br BRA,MFFW,Aston Villa,8.8,288,384,75.0,0,0.5,0.8,8,30,8,2,48
Conor Coventry,ie IRL,MFFW,West Ham,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
Aaron Cresswell,eng ENG,DF,West Ham,24.1,1081,1394,77.5,1,3.7,2.8,40,86,28,15,142
Marc Cucurella,es ESP,DF,Chelsea,18.6,1090,1293,84.3,2,0.6,0.9,11,77,12,6,73
Matheus Cunha,br BRA,FW,Wolves,10.0,160,217,73.7,0,0.5,0.2,6,5,2,0,13
Patson Daka,zm ZAM,FW,Leicester City,12.5,179,269,66.5,4,2.8,1.7,17,7,8,1,17
Diogo Dalot,pt POR,DF,Manchester Utd,22.9,1105,1397,79.1,2,1.9,1.5,29,80,28,13,92
Mikkel Damsgaard,dk DEN,MFFW,Brentford,8.9,223,330,67.6,0,1.0,1.0,10,31,8,1,33
Danilo,br BRA,MF,Nott'ham Forest,9.1,144,217,66.4,2,0.6,0.6,7,22,7,0,33
Arnaut Danjuma,nl NED,FWMF,Tottenham,1.0,15,28,53.6,0,0.0,0.0,1,0,2,2,0
Josh Dasilva,eng ENG,MF,Brentford,15.0,473,593,79.8,2,1.5,1.5,12,33,23,5,60
Ben Davies,wls WAL,DF,Tottenham,22.5,944,1159,81.4,2,2.3,1.3,18,72,6,3,101
Tom Davies,eng ENG,MF,Everton,6.0,173,234,73.9,0,0.2,0.3,2,25,2,0,30
Craig Dawson,eng ENG,DF,West Ham,8.0,245,310,79.0,0,0.1,0.1,1,25,0,0,18
Craig Dawson,eng ENG,DF,Wolves,13.7,677,805,84.1,0,0.0,0.1,1,46,1,0,38
Kevin De Bruyne,be BEL,MF,Manchester City,26.1,1157,1586,73.0,16,13.7,13.9,95,124,93,19,241
Siriki Dembélé,ci CIV,FWMF,Bournemouth,1.2,37,47,78.7,0,0.3,0.2,4,2,3,2,4
Leander Dendoncker,be BEL,MF,Aston Villa,7.7,247,281,87.9,0,0.5,0.1,5,16,0,0,17
Leander Dendoncker,be BEL,MF,Wolves,2.4,86,99,86.9,0,0.0,0.0,2,4,1,1,6
Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,7.8,120,177,67.8,2,0.6,0.4,7,7,4,2,16
Halil Dervi?o?lu,tr TUR,MF,Brentford,0.1,0,0,,0,0.0,0.0,0,0,0,0,0
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24.8,838,1114,75.2,2,3.1,2.5,38,110,22,4,129
Ibrahima Diallo,fr FRA,MF,Southampton,9.1,317,402,78.9,0,0.1,0.1,4,24,2,0,28
Rúben Dias,pt POR,DF,Manchester City,21.2,1836,1983,92.6,0,0.6,0.3,3,130,0,0,95
Luis Díaz,co COL,FW,Liverpool,9.1,299,366,81.7,2,1.3,1.1,10,21,8,1,39
Eric Dier,eng ENG,DF,Tottenham,31.3,1708,2001,85.4,1,1.2,0.6,7,76,8,3,87
Lucas Digne,fr FRA,DF,Aston Villa,15.1,655,864,75.8,0,1.8,1.7,17,35,22,14,52
Issa Diop,fr FRA,DF,Fulham,19.4,1047,1218,86.0,0,0.0,0.2,1,65,3,0,63
Moussa Djenepo,ml MLI,DFFW,Southampton,7.7,169,232,72.8,2,0.5,0.4,8,13,5,3,18
Ben Doak,sct SCO,FW,Liverpool,0.3,10,14,71.4,0,0.0,0.0,0,0,0,0,1
Matt Doherty,ie IRL,DFMF,Tottenham,7.4,329,408,80.6,0,0.3,0.3,6,14,5,3,20
Gabriel Dos Santos,br BRA,DF,Arsenal,34.9,1984,2218,89.4,0,0.2,0.6,4,156,3,0,145
Abdoulaye Doucouré,ml MLI,MF,Everton,14.0,376,474,79.3,2,2.0,0.9,19,26,10,0,35
Cheick Doucouré,ml MLI,MF,Crystal Palace,28.1,932,1128,82.6,3,1.9,1.1,25,99,10,1,128
Flynn Downes,eng ENG,MF,West Ham,6.5,180,216,83.3,0,0.0,0.1,1,12,1,0,15
Cody Drameh,eng ENG,DF,Leeds United,0.8,30,38,78.9,0,0.0,0.0,0,2,0,0,2
Martin Dúbravka,sk SVK,GK,Newcastle Utd,0.7,19,22,86.4,0,0.0,0.0,0,1,0,0,0
Shane Duffy,ie IRL,DFFW,Fulham,0.2,16,20,80.0,0,0.0,0.0,0,0,0,0,0
Lewis Dunk,eng ENG,DF,Brighton,33.0,2658,2944,90.3,0,1.0,0.9,9,168,9,1,150
Jhon Durán,co COL,FWMF,Aston Villa,1.2,14,24,58.3,0,0.0,0.0,1,1,1,0,4
Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,0.4,5,10,50.0,0,0.0,0.0,0,0,0,0,2
Ederson,br BRA,GK,Manchester City,33.0,1009,1174,85.9,1,0.2,0.2,1,13,0,0,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,18.0,270,376,71.8,2,1.1,0.7,15,9,9,0,32
Samuel Edozie,eng ENG,FWMF,Southampton,6.3,111,164,67.7,0,0.4,0.4,8,6,6,1,13
Anthony Elanga,se SWE,FW,Manchester Utd,4.7,95,130,73.1,1,0.9,1.0,6,3,3,0,8
Harvey Elliott,eng ENG,MFFW,Liverpool,17.4,776,968,80.2,2,3.3,4.3,23,65,38,6,127
Mohamed Elneny,eg EGY,MF,Arsenal,1.3,57,60,95.0,0,0.0,0.0,0,3,2,0,2
Mohamed Elyounoussi,no NOR,MFFW,Southampton,22.4,401,597,67.2,1,2.1,1.6,18,29,18,6,47
Emerson,br BRA,DF,Tottenham,16.5,714,890,80.2,1,0.6,1.0,9,46,16,3,71
Christian Eriksen,dk DEN,MF,Manchester Utd,19.9,1054,1308,80.6,7,3.8,2.9,31,130,23,4,143
Pervis Estupiñán,ec ECU,DF,Brighton,25.2,1386,1682,82.4,4,4.1,2.9,43,88,35,14,138
Jonny Evans,nir NIR,DF,Leicester City,9.0,603,675,89.3,0,0.0,0.1,1,40,1,0,31
Eberechi Eze,eng ENG,MFFW,Crystal Palace,26.3,822,1049,78.4,3,3.9,2.8,52,76,30,2,111
?ukasz Fabia?ski,pl POL,GK,West Ham,31.6,537,845,63.6,0,0.0,0.0,0,12,0,0,0
Fabinho,br BRA,MF,Liverpool,27.2,1471,1666,88.3,1,1.9,1.7,15,116,13,0,141
Wout Faes,be BEL,DF,Leicester City,28.0,1486,1739,85.5,2,0.6,0.6,9,69,5,0,72
Felipe,br BRA,DF,Nott'ham Forest,13.9,389,538,72.3,1,0.5,0.8,5,14,2,0,20
João Félix,pt POR,FWMF,Chelsea,9.0,236,309,76.4,0,0.5,0.9,7,27,14,1,41
Evan Ferguson,ie IRL,FW,Brighton,7.2,138,172,80.2,2,0.5,0.5,8,2,5,0,8
Bruno Fernandes,pt POR,MFFW,Manchester Utd,33.0,1344,1819,73.9,7,14.6,9.5,103,131,74,9,231
Enzo Fernández,ar ARG,MF,Chelsea,13.2,955,1083,88.2,2,1.5,1.5,13,122,15,0,119
Roberto Firmino,br BRA,FWMF,Liverpool,12.6,426,540,78.9,4,2.3,1.9,20,45,18,1,76
Junior Firpo,es ESP,DF,Leeds United,13.9,424,572,74.1,1,0.8,0.7,8,35,7,3,48
Phil Foden,eng ENG,FW,Manchester City,16.9,730,915,79.8,6,3.4,3.5,35,29,29,9,67
Datro Fofana,ci CIV,FW,Chelsea,0.7,4,6,66.7,0,0.1,0.1,2,0,1,0,1
Wesley Fofana,fr FRA,DF,Leicester City,2.0,117,140,83.6,0,0.0,0.0,0,16,0,0,6
Wesley Fofana,fr FRA,DF,Chelsea,10.6,615,691,89.0,0,0.0,0.3,1,44,2,0,36
Pablo Fornals,es ESP,FWMF,West Ham,14.1,456,640,71.3,1,1.5,1.8,14,48,8,4,64
Adam Forshaw,eng ENG,MF,Leeds United,3.1,90,111,81.1,0,0.5,0.3,2,12,1,0,14
Fraser Forster,eng ENG,GK,Tottenham,10.5,209,272,76.8,0,0.0,0.0,0,2,0,0,0
Tyrese Francois,au AUS,FW,Fulham,0.0,2,2,100.0,0,0.0,0.0,0,1,0,0,0
Ryan Fraser,sct SCO,FW,Newcastle Utd,3.5,85,122,69.7,0,0.4,0.3,5,4,4,1,9
Fred,br BRA,MF,Manchester Utd,12.8,553,705,78.4,1,2.1,1.3,23,54,10,2,67
Ryan Fredericks,eng ENG,DF,Bournemouth,5.9,149,220,67.7,0,0.1,0.3,1,5,6,1,15
Remo Freuler,ch SUI,MF,Nott'ham Forest,24.0,664,836,79.4,0,0.8,0.7,12,47,6,3,54
Cody Gakpo,nl NED,FW,Liverpool,13.8,247,332,74.4,2,1.7,1.3,17,25,10,1,38
Conor Gallagher,eng ENG,MFFW,Chelsea,14.6,577,722,79.9,1,2.3,1.6,21,58,16,5,88
Idrissa Gana Gueye,sn SEN,MF,Everton,26.1,956,1138,84.0,1,1.1,0.8,11,100,5,0,87
